Analisi su 129 galassie SPARC di buona qualità

==========================================================================================
RISULTATI CST SU 129 GALASSIE SPARC — 2931 PUNTI DATI
==========================================================================================

  RMSE globale CST (bar+CST★+vortice) = 18.44 km/s
  RMSE globale solo barioni            = 61.93 km/s
  MIGLIORAMENTO GLOBALE: 3.36x

─────────────────────────────────────────────────────────────────────────────────────
    Galassia Tipo    Vf   N │    vm    rc │ RMSE_C RMSE_B   Imp
─────────────────────────────────────────────────────────────────────────────────────
    UGC02487   S0   332  17 │   314  38.4 │   40.1  167.9   4.2x
 ESO563-G021  Sbc   315  30 │   293  18.8 │   32.7  118.0   3.6x
     NGC5985   Sb   294  33 │   268  13.4 │   29.4  136.5   4.7x
    UGC02885   Sc   290  19 │   248  50.1 │   17.6  114.8   6.5x
    UGC11914  Sab   288  65 │   212  12.1 │   12.8   53.5   4.2x
     NGC2841   Sb   285  50 │   268  29.4 │   43.2  130.5   3.0x
    UGC11455  Scd   269  36 │   198  36.7 │   12.9   60.1   4.6x
    UGC02953  Sab   265 115 │   233  25.4 │   29.9   86.4   2.9x
     NGC5005  Sbc   262  18 │ 364187 52989.7 │   22.2   32.1   1.4x
     NGC6195   Sb   252  23 │ 776104 293814.4 │   15.7   32.5   2.1x
    UGC06787  Sab   248  71 │   216  19.5 │   25.7   80.5   3.1x
      IC4202  Sbc   243  32 │   173  16.0 │   27.2   69.1   2.5x
     NGC6674   Sb   241  15 │   215  42.1 │   35.2  119.2   3.4x
     NGC3992  Sbc   241   9 │   214  23.8 │   18.4  105.3   5.7x
     NGC7331   Sb   239  36 │   235  56.6 │   24.6   59.4   2.4x
    UGC12506  Scd   234  31 │   230  21.7 │   32.5  116.0   3.6x
    UGC09133  Sab   227  68 │   208  56.1 │   24.0   81.5   3.4x
     NGC3953  Sbc   221   8 │   126   8.5 │    6.2   49.9   8.0x
     NGC0801   Sc   220  13 │   156  48.8 │   14.3   54.0   3.8x
    UGC03205  Sab   220  48 │   173  21.6 │   25.5   72.0   2.8x
    UGC06786   S0   219  45 │   204  15.7 │   17.9   82.0   4.6x
     NGC7814  Sab   219  18 │   172  14.6 │   16.9   73.6   4.4x
     NGC0891   Sb   216  18 │   500  92.8 │   33.4   42.5   1.3x
     NGC5907   Sc   215  19 │   176  26.6 │   23.2   86.5   3.7x
     NGC3521  Sbc   214  41 │   176  20.6 │    5.2   35.2   6.7x
    UGC05253  Sab   214  73 │   205  26.0 │   17.4   51.9   3.0x
     NGC2998   Sc   210  13 │   166  28.9 │   32.2   71.8   2.2x
     NGC5371  Sbc   210  19 │   415 204.8 │   15.6   45.3   2.9x
    UGC06614   Sa   200  13 │   184  51.3 │   12.5   65.5   5.3x
    UGC03546   Sa   197  30 │   140  17.5 │   44.6   52.0   1.2x
     NGC5033   Sc   194  22 │   181  22.3 │   19.5   81.8   4.2x
     NGC4157   Sb   185  17 │   171  39.1 │    8.4   52.6   6.2x
     NGC2903  Sbc   185  34 │   150  15.9 │   27.8   60.5   2.2x
    UGC02916  Sab   183  43 │   146  27.7 │   26.8   41.0   1.5x
    UGC08699  Sab   182  41 │   155  13.5 │   17.2   57.3   3.3x
     NGC4217   Sb   181  19 │ 600187 154762.9 │   51.3   47.9   0.9x
     NGC5055  Sbc   179  28 │   146  38.8 │   14.9   53.5   3.6x
 ESO079-G014  Sbc   175  15 │   140  13.1 │    6.1   55.7   9.1x
     NGC3893   Sc   174  10 │   139  12.3 │    6.0   58.4   9.8x
     NGC4013   Sb   173  36 │   150  28.8 │    6.0   65.7  11.0x
     NGC4088  Sbc   172  12 │ 312494 115571.3 │   16.6   25.4   1.5x
     NGC3877   Sc   168  13 │    90   4.2 │   15.5   33.8   2.2x
     NGC3726   Sc   168  12 │   143  35.6 │    6.6   50.4   7.6x
     NGC1090  Sbc   164  24 │   126  21.4 │   11.3   53.9   4.8x
     NGC0289  Sbc   163  28 │   157  33.0 │   14.2   72.1   5.1x
     NGC3949  Sbc   163   7 │ 350379 47577.3 │    8.3   28.5   3.5x
     NGC6946  Scd   159  58 │   116  16.4 │   10.6   42.1   4.0x
     NGC4100  Sbc   158  24 │   143  11.8 │    9.3   66.4   7.1x
     NGC4051  Sbc   157   7 │    65   5.3 │    7.2   23.6   3.3x
     NGC6015  Scd   154  44 │   148   9.4 │   26.4   65.6   2.5x
     NGC2683   Sb   154  11 │   148  15.4 │   13.8   64.0   4.7x
    UGC09037  Scd   152  22 │   160  45.9 │   14.4   38.7   2.7x
     NGC3198   Sc   150  43 │   145  18.8 │   13.7   56.1   4.1x
     NGC4138   S0   147   7 │   127   8.2 │   13.8   55.1   4.0x
